,From,To,Weight
441,Minos N. Garofalakis,Ralf Klinkenberg,1
442,Minos N. Garofalakis,Stefan Burkard,1
443,Minos N. Garofalakis,Theodoros Bitsakis,1
444,Minos N. Garofalakis,Vasilis Samoladas,1
445,Minos N. Garofalakis,Yannis Kotidis,1
446,Nikos Giatrakos,Ralf Klinkenberg,1
447,Nikos Giatrakos,Stefan Burkard,1
448,Nikos Giatrakos,Theodoros Bitsakis,1
449,Nikos Giatrakos,Vasilis Samoladas,1
450,Nikos Giatrakos,Yannis Kotidis,1
451,Ralf Klinkenberg,Stefan Burkard,1
452,Ralf Klinkenberg,Theodoros Bitsakis,1
453,Ralf Klinkenberg,Vasilis Samoladas,1
454,Ralf Klinkenberg,Yannis Kotidis,1
455,Stefan Burkard,Theodoros Bitsakis,1
456,Stefan Burkard,Vasilis Samoladas,1
457,Stefan Burkard,Yannis Kotidis,1
458,Theodoros Bitsakis,Vasilis Samoladas,1
459,Theodoros Bitsakis,Yannis Kotidis,1
460,Vasilis Samoladas,Yannis Kotidis,1
461,Julian Risch,Ralf Krestel,2
462,Ahmad Sakor,Anery Patel,1
463,Ahmad Sakor,Kuldeep Singh,1
464,Ahmad Sakor,Maria-Esther Vidal,1
465,Anery Patel,Kuldeep Singh,1
466,Anery Patel,Maria-Esther Vidal,1
467,Kuldeep Singh,Maria-Esther Vidal,1
468,Aoying Zhou,Cheqing Jin,1
469,Aoying Zhou,Gang Qin,1
470,Aoying Zhou,Yanchao Zhu,1
471,Aoying Zhou,Yingjie Yang,1
472,Aoying Zhou,Zhao Zhang,1
473,Cheqing Jin,Gang Qin,1
474,Cheqing Jin,Yanchao Zhu,1
475,Cheqing Jin,Yingjie Yang,1
476,Cheqing Jin,Zhao Zhang,1
477,Gang Qin,Yanchao Zhu,1
478,Gang Qin,Yingjie Yang,1
479,Gang Qin,Zhao Zhang,1
480,Yanchao Zhu,Yingjie Yang,1
481,Yanchao Zhu,Zhao Zhang,1
482,Yingjie Yang,Zhao Zhang,1
483,Changlin Wan,Chi Zhang,1
484,Changlin Wan,Sha Cao,1
485,Changlin Wan,Tong Zhao,1
486,Changlin Wan,Wennan Chang,1
487,Chi Zhang,Sha Cao,1
488,Chi Zhang,Tong Zhao,1
489,Chi Zhang,Wennan Chang,1
490,Sha Cao,Tong Zhao,1
491,Sha Cao,Wennan Chang,1
492,Tong Zhao,Wennan Chang,1
493,Dimitar Dimitrov,Erdal Baran,1
494,Dimitar Dimitrov,Matthäus Zloch,1
495,Dimitar Dimitrov,Pavlos Fafalios,1
496,Dimitar Dimitrov,Ran Yu 0001,1
497,Dimitar Dimitrov,Stefan Dietze,1
498,Dimitar Dimitrov,Xiaofei Zhu,1
499,Erdal Baran,Matthäus Zloch,1
500,Erdal Baran,Pavlos Fafalios,1
501,Erdal Baran,Ran Yu 0001,1
502,Erdal Baran,Stefan Dietze,1
503,Erdal Baran,Xiaofei Zhu,1
504,Matthäus Zloch,Pavlos Fafalios,1
505,Matthäus Zloch,Ran Yu 0001,1
506,Matthäus Zloch,Stefan Dietze,1
507,Matthäus Zloch,Xiaofei Zhu,1
508,Pavlos Fafalios,Ran Yu 0001,1
509,Pavlos Fafalios,Stefan Dietze,1
510,Pavlos Fafalios,Xiaofei Zhu,1
511,Ran Yu 0001,Stefan Dietze,1
512,Ran Yu 0001,Xiaofei Zhu,1
513,Stefan Dietze,Xiaofei Zhu,1
514,Giovanni Campagna,Jian Li,1
515,Giovanni Campagna,Monica S. Lam,1
516,Giovanni Campagna,Silei Xu,1
517,Jian Li,Monica S. Lam,1
518,Jian Li,Silei Xu,1
519,Monica S. Lam,Silei Xu,1
520,Tian Guo,Xiangnan Kong,2
521,Tian Guo,Xin Dai,2
522,Xiangnan Kong,Xin Dai,2
523,Fuzheng Zhang,Junchen Wan,1
524,Fuzheng Zhang,Kai Zheng,1
525,Fuzheng Zhang,Kun Zhou,3
526,Fuzheng Zhang,Rui Sun,1
527,Fuzheng Zhang,Xuezhi Cao,1
528,Fuzheng Zhang,Yan Zhao,1
529,Junchen Wan,Kai Zheng,1
530,Junchen Wan,Kun Zhou,1
531,Junchen Wan,Rui Sun,1
532,Junchen Wan,Xuezhi Cao,1
533,Junchen Wan,Yan Zhao,1
534,Junchen Wan,Zhongyuan Wang,1
535,Kai Zheng,Kun Zhou,1
536,Kai Zheng,Rui Sun,1
537,Kai Zheng,Xuezhi Cao,1
538,Kai Zheng,Yan Zhao,1
539,Kai Zheng,Zhongyuan Wang,1
540,Kun Zhou,Rui Sun,1
541,Kun Zhou,Xuezhi Cao,1
542,Kun Zhou,Yan Zhao,1
543,Kun Zhou,Zhongyuan Wang,3
544,Rui Sun,Xuezhi Cao,1
545,Rui Sun,Yan Zhao,1
546,Rui Sun,Zhongyuan Wang,1
547,Xuezhi Cao,Yan Zhao,1
548,Xuezhi Cao,Zhongyuan Wang,1
549,Yan Zhao,Zhongyuan Wang,1
550,Miao Fan,Mingming Sun,1
551,Miao Fan,Ping Li 0001,1
552,Miao Fan,Yue Feng,1
553,Mingming Sun,Ping Li 0001,4
554,Mingming Sun,Yue Feng,1
555,Ping Li 0001,Yue Feng,1
556,Li Li,Ninghao Liu,1
557,Li Li,Rui Chen,1
558,Li Li,Soo-Hyun Choi,1
559,Li Li,Xia Hu,1
560,Li Li,Yong Ge,1
561,Ninghao Liu,Rui Chen,1
562,Ninghao Liu,Soo-Hyun Choi,1
563,Ninghao Liu,Xia Hu,3
564,Ninghao Liu,Yong Ge,1
565,Rui Chen,Soo-Hyun Choi,1
566,Rui Chen,Xia Hu,1
567,Rui Chen,Yong Ge,1
568,Soo-Hyun Choi,Xia Hu,1
569,Soo-Hyun Choi,Yong Ge,1
570,Xia Hu,Yong Ge,1
571,Chenghao Liu,Huan Liu 0001,1
572,Chenghao Liu,Jianling Wang,1
573,Chenghao Liu,Jundong Li,1
574,Chenghao Liu,Kai Shu,1
575,Chenghao Liu,Kaize Ding,1
576,Huan Liu 0001,Jianling Wang,1
577,Huan Liu 0001,Jundong Li,1
578,Huan Liu 0001,Kaize Ding,1
579,Jianling Wang,Jundong Li,1
580,Jianling Wang,Kai Shu,1
581,Jianling Wang,Kaize Ding,1
582,Jundong Li,Kai Shu,1
583,Jundong Li,Kaize Ding,2
584,Kai Shu,Kaize Ding,1
585,Ilya Safro,Ilya Tyagin,1
586,Ilya Safro,Justin Sybrandt,2
587,Ilya Safro,Michael Shtutman,1
588,Ilya Tyagin,Justin Sybrandt,1
589,Ilya Tyagin,Michael Shtutman,1
590,Justin Sybrandt,Michael Shtutman,1
591,Beyza Ermis,Giovanni Zappella,1
592,Beyza Ermis,Patrick Ernst,1
593,Beyza Ermis,Yannik Stein,1
594,Giovanni Zappella,Patrick Ernst,2
595,Giovanni Zappella,Yannik Stein,1
596,Patrick Ernst,Yannik Stein,1
597,Jiayu Tang,Jinghua Feng,3
598,Jiayu Tang,Qing He 0003,3
599,Jiayu Tang,Qiwei Zhong,3
600,Jiayu Tang,Xiang Ao,3
601,Jiayu Tang,Yang Liu 0200,2
602,Jinghua Feng,Qing He 0003,3
603,Jinghua Feng,Qiwei Zhong,3
604,Jinghua Feng,Xiang Ao,3
605,Jinghua Feng,Yang Liu 0200,2
606,Qing He 0003,Qiwei Zhong,3
607,Qing He 0003,Xiang Ao,4
608,Qing He 0003,Yang Liu 0200,2
609,Qiwei Zhong,Xiang Ao,3
610,Qiwei Zhong,Yang Liu 0200,2
611,Xiang Ao,Yang Liu 0200,2
612,Brian Walsh,Sameh K. Mohamed,1
613,Brian Walsh,Vít Novácek,1
614,Sameh K. Mohamed,Vít Novácek,1
615,Mengnan Du,Shiva K. Pentyala,1
